Company,laptop_type,screen_size_inch,display_resolution_width,display_resolution_height,panel_type,is_touchscreen,resolution_class,cpu_brand,cpu_family,cpu_generation,clock_speed_ghz,cpu_tier,gpu_brand,ram_gb,ssd_gb,hdd_gb,flash_gb,hybrid_gb,total_storage_gb,weight_kg,weight_class,price_band,Price,is_price_outlier,Performance_Score,value_index,value_segment
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,4,Intel,4,0,500,0,0,500,1.86,Medium,Budget,20986.992,No,0.5133333333333333,2.4459595416691128e-05,High Value
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,Intel,4,0,500,0,0,500,1.86,Medium,Budget,18381.0672,No,0.4133333333333333,2.248690616469392e-05,High Value
APPLE,Ultrabook,15.4,2880,1800,IPS,0,Quad HD+,Intel,i7,,2.0,5,AMD,16,256,0,0,0,256,1.83,Medium,Premium,130001.6016,No,0.7183333333333334,5.5255729505822754e-06,Low Value
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,AMD,4,256,0,0,0,256,2.2,Heavy,Budget,26581.392,No,0.4383333333333333,1.6490232465377785e-05,High Value
APPLE,Ultrabook,12.0,2304,1440,IPS,0,Quad HD,Intel,Core M,,1.0,3,Intel,8,256,0,0,0,256,0.92,Light,Mid-Range,67260.672,No,0.365,5.426648131020754e-06,Low Value
APPLE,Ultrabook,13.3,2560,1600,IPS,0,Quad HD+,Intel,i5,,2.0,4,Intel,8,256,0,0,0,256,1.37,Medium,Premium,80908.344,No,0.5650000000000001,6.983210532649143e-06,Low Value
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,AMD,8,256,0,0,0,256,2.2,Heavy,Budget,39693.6,No,0.665,1.6753330511719776e-05,High Value
APPLE,Ultrabook,15.4,2880,1800,IPS,0,Quad HD+,Intel,i7,,2.0,5,AMD,16,512,0,0,0,512,1.83,Medium,Premium,152274.24,Yes,0.7433333333333334,4.881543544944526e-06,Low Value
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,7.0,2.0,3,NVIDIA,8,0,1024,0,0,1024,2.2,Heavy,Budget,26586.72,No,0.44,1.6549615748012542e-05,High Value
DELL,Ultrabook,13.3,1920,1080,IPS,1,Full HD,Intel,i5,8.0,1.0,4,Intel,8,128,0,0,0,128,1.22,Light,Mid-Range,52161.12,No,0.4525,8.675043787403337e-06,Balanced
ASUS,Netbook,11.6,1366,768,Standard,0,HD,Intel,Atom,,1.0,1,Intel,2,0,0,32,0,32,0.98,Light,Budget,10224.432,No,0.0999999999999999,9.780494407904507e-06,Balanced
LENOVO,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,128,1024,0,0,1152,2.5,Heavy,Mid-Range,53226.72,No,0.5525,1.038012486961436e-05,Balanced
HP,Notebook,15.6,1366,768,Standard,0,HD,AMD,E-Series,,1.0,1,AMD,4,0,500,0,0,500,1.86,Medium,Budget,13746.24,No,0.1133333333333333,8.244678787314443e-06,Balanced
DELL,2 in 1 Convertible,13.3,1920,1080,Standard,1,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.62,Medium,Mid-Range,43636.32,No,0.4650000000000001,1.0656260656260659e-05,Balanced
HP,Ultrabook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,256,0,0,0,256,1.91,Medium,Budget,35111.52,No,0.5650000000000001,1.609158475622816e-05,High Value
DELL,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,3,Intel,4,0,1024,0,0,1024,2.3,Heavy,Budget,22305.1392,No,0.4133333333333333,1.8530856482318357e-05,High Value
APPLE,Ultrabook,13.3,1440,900,Standard,0,HD+,Intel,i5,,1.0,4,Intel,8,0,0,128,0,128,1.35,Medium,Mid-Range,58554.72,No,0.44,7.514338724529807e-06,Low Value
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,AMD,8,256,0,0,0,256,2.2,Heavy,Mid-Range,42624.0,No,0.4650000000000001,1.0909346846846849e-05,Balanced
DELL,Ultrabook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,512,0,0,0,512,1.88,Medium,Mid-Range,69157.44,No,0.5900000000000001,8.531258531258532e-06,Balanced
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,NVIDIA,8,0,1024,0,0,1024,2.5,Heavy,Mid-Range,47738.88,No,0.44,9.216806091806092e-06,Balanced
CHUWI,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,Atom,,1.0,1,Intel,4,0,0,64,0,64,1.89,Medium,Budget,13053.0672,No,0.1133333333333333,8.682505927291427e-06,Balanced
ASUS,Notebook,14.0,1366,768,Standard,0,HD,AMD,E-Series,,1.0,1,AMD,2,0,0,32,0,32,1.65,Medium,Budget,10602.72,No,0.0999999999999999,9.431542094858668e-06,Balanced
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,AMD,A6-Series,,2.0,1,AMD,4,0,500,0,0,500,2.71,Heavy,Budget,23389.92,No,0.2133333333333333,9.120738050123015e-06,Balanced
DELL,Ultrabook,13.3,3200,1800,Standard,1,Quad HD+,Intel,i7,8.0,1.0,5,Intel,16,512,0,0,0,512,1.2,Light,Premium,99580.32,No,0.6433333333333334,6.460446535352903e-06,Low Value
APPLE,Ultrabook,13.3,1440,900,Standard,0,HD+,Intel,i5,,1.0,4,Intel,8,0,0,256,0,256,1.35,Medium,Mid-Range,53173.44,No,0.44,8.274807874006271e-06,Balanced
LENOVO,Notebook,14.0,1366,768,Standard,0,HD,Intel,Celeron,,1.0,1,Intel,4,0,0,64,0,64,1.44,Medium,Budget,13266.72,No,0.1133333333333333,8.542679225410148e-06,Balanced
ACER,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,7.0,2.0,3,Intel,4,0,1024,0,0,1024,2.1,Medium,Budget,19553.76,No,0.4133333333333333,2.1138304517051108e-05,High Value
DELL,Notebook,17.3,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,AMD,8,128,1024,0,0,1152,2.8,Heavy,Mid-Range,52161.12,No,0.4525,8.675043787403337e-06,Balanced
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,4,Intel,4,0,1024,0,0,1024,1.86,Medium,Budget,26037.4032,No,0.5133333333333333,1.971522772030251e-05,High Value
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,NVIDIA,8,256,0,0,0,256,2.1,Medium,Mid-Range,46833.12,No,0.4650000000000001,9.928870850372558e-06,Balanced
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,Intel,4,0,1024,0,0,1024,2.0,Medium,Budget,20725.92,No,0.4133333333333333,1.9942821999377267e-05,High Value
DELL,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,1024,0,0,1280,2.65,Heavy,Mid-Range,79866.72,No,0.7183333333333334,8.99415092210289e-06,Balanced
ASUS,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,4,NVIDIA,8,0,1024,0,0,1024,2.3,Heavy,Budget,27864.9072,No,0.54,1.9379214010086493e-05,High Value
ACER,Notebook,15.6,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,Intel,4,256,0,0,0,256,2.2,Heavy,Budget,36336.96,No,0.4383333333333333,1.206301609527416e-05,High Value
DELL,2 in 1 Convertible,17.3,1920,1080,Standard,1,Full HD,Intel,i5,8.0,1.0,4,NVIDIA,12,0,1024,0,0,1024,2.77,Heavy,Mid-Range,53226.72,No,0.4666666666666667,8.767526285043803e-06,Balanced
APPLE,Ultrabook,13.3,2560,1600,IPS,0,Quad HD+,Intel,i5,,2.0,4,Intel,8,256,0,0,0,256,1.37,Medium,Mid-Range,75604.31999999999,No,0.5650000000000001,7.473117938234219e-06,Low Value
LENOVO,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,3,Intel,4,128,0,0,0,128,2.2,Heavy,Budget,19660.32,No,0.4258333333333333,2.1659532160887172e-05,High Value
ASUS,Gaming,17.3,1920,1080,Standard,0,Full HD,AMD,Ryzen,1.0,3.0,5,AMD,8,256,1024,0,0,1280,3.2,Heavy,Mid-Range,69210.72,No,0.765,1.1053201007011631e-05,Balanced
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,AMD,4,256,0,0,0,256,2.3,Heavy,Budget,34045.92,No,0.5383333333333333,1.581197786205611e-05,High Value
ASUS,Notebook,17.3,1366,768,Standard,0,HD,Intel,Pentium,,1.0,1,NVIDIA,4,0,1024,0,0,1024,2.8,Heavy,Budget,24828.48,No,0.1133333333333333,4.564650487397267e-06,Low Value
LENOVO,2 in 1 Convertible,10.1,1920,1200,IPS,1,Full HD,Intel,Atom,,1.0,1,Intel,4,0,0,64,0,64,0.69,Light,Budget,16996.32,No,0.1133333333333333,6.668110116385976e-06,Low Value
ACER,Notebook,15.6,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,8,256,0,0,0,256,2.2,Heavy,Mid-Range,44808.48,No,0.5650000000000001,1.2609220397567603e-05,High Value
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,AMD,A6-Series,,2.0,1,AMD,4,256,0,0,0,256,1.86,Medium,Budget,21231.5472,No,0.2383333333333333,1.1225434071678644e-05,Balanced
HP,Notebook,13.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,512,0,0,0,512,1.49,Medium,Mid-Range,58767.84,No,0.5900000000000001,1.003950459979472e-05,Balanced
ACER,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,7.0,2.0,3,Intel,4,0,1024,0,0,1024,2.4,Heavy,Budget,20459.52,No,0.4133333333333333,2.020249416082749e-05,High Value
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,AMD,8,256,0,0,0,256,2.13,Medium,Mid-Range,40908.384,No,0.5650000000000001,1.381134977123516e-05,High Value
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,Intel,4,128,0,0,0,128,1.91,Medium,Budget,23389.92,No,0.4258333333333333,1.820584821723774e-05,High Value
ASUS,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,4,Intel,4,256,0,0,0,256,2.0,Medium,Budget,31232.203200000004,No,0.5383333333333333,1.7236482802254992e-05,High Value
MSI,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,2048,0,0,2304,2.43,Heavy,Premium,130482.72,No,0.7183333333333334,5.505198951503566e-06,Low Value
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,Intel,4,256,0,0,0,256,2.0,Medium,Budget,22111.2,No,0.4383333333333333,1.9824040908378256e-05,High Value
DELL,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,AMD,16,256,2048,0,0,2304,2.8,Heavy,Mid-Range,69210.72,No,0.6183333333333334,8.934068787802429e-06,Balanced
DELL,Ultrabook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.7,Medium,Mid-Range,46833.12,No,0.4650000000000001,9.928870850372558e-06,Balanced
LENOVO,Notebook,14.0,1920,1080,IPS,0,Full HD,Intel,i3,7.0,2.0,3,Intel,8,256,0,0,0,256,1.7,Medium,Budget,31914.72,No,0.4650000000000001,1.4570079261231184e-05,High Value
ASUS,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.4,Medium,Mid-Range,50136.48,No,0.4650000000000001,9.27468382303664e-06,Balanced
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,1.86,Medium,Budget,36763.2,No,0.5650000000000001,1.5368629499064284e-05,High Value
ASUS,Ultrabook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,512,0,0,0,512,1.8,Medium,Premium,105654.24,No,0.7433333333333334,7.035527711271534e-06,Low Value
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,3,AMD,4,0,500,0,0,500,1.86,Medium,Budget,23373.4032,No,0.4133333333333333,1.76839174764817e-05,High Value
HP,Notebook,14.0,1366,768,Standard,0,HD,Intel,Celeron,,1.0,1,Intel,4,32,0,0,0,32,1.44,Medium,Budget,12201.12,No,0.1164583333333333,9.544888775238117e-06,Balanced
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,Intel,4,0,1024,0,0,1024,1.9,Medium,Budget,29250.72,No,0.5133333333333333,1.754942556399751e-05,High Value
ASUS,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,12,0,1024,0,0,1024,3.0,Heavy,Mid-Range,50562.72,No,0.6666666666666666,1.3184944691794005e-05,High Value
MICROSOFT,Ultrabook,13.5,2256,1504,Standard,1,Quad HD,Intel,i5,7.0,2.0,4,Intel,4,128,0,0,0,128,1.25,Light,Mid-Range,58021.92,No,0.5258333333333333,9.062666890949718e-06,Balanced
DELL,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,5,AMD,8,256,0,0,0,256,1.4,Medium,Mid-Range,50882.4,No,0.5650000000000001,1.1104035973145922e-05,Balanced
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,AMD,8,256,0,0,0,256,2.2,Heavy,Mid-Range,46353.6,No,0.5650000000000001,1.2188913050982019e-05,High Value
MSI,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,128,1024,0,0,1152,2.7,Heavy,Mid-Range,58341.6,No,0.5525,9.470086524881045e-06,Balanced
ACER,Notebook,14.0,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,3,Intel,8,0,1024,0,0,1024,2.1,Medium,Budget,20725.92,No,0.44,2.122945567675645e-05,High Value
ASUS,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,0,1024,0,0,1024,2.2,Heavy,Mid-Range,50562.72,No,0.64,1.2657546904122246e-05,High Value
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,Intel,8,0,2048,0,0,2048,2.2,Heavy,Budget,27652.32,No,0.54,1.9528198718950166e-05,High Value
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,128,1024,0,0,1152,2.02,Medium,Mid-Range,45554.4,No,0.5525,1.212835642660204e-05,High Value
ACER,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,7.0,2.0,3,NVIDIA,4,0,1024,0,0,1024,2.2,Heavy,Budget,28238.4,No,0.4133333333333333,1.4637278788222182e-05,High Value
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,NVIDIA,8,128,1024,0,0,1152,2.5,Heavy,Mid-Range,52054.56,No,0.4525,8.692802321256774e-06,Balanced
DELL,Ultrabook,15.6,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.88,Medium,Mid-Range,58403.4048,No,0.4650000000000001,7.96186457951164e-06,Balanced
APPLE,Ultrabook,12.0,2304,1440,IPS,0,Quad HD,Intel,i5,,1.0,4,Intel,8,512,0,0,0,512,0.92,Light,Premium,80452.8,No,0.49,6.090527613706422e-06,Low Value
HP,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.63,Medium,Mid-Range,45820.8,No,0.4650000000000001,1.0148229624973812e-05,Balanced
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,AMD,A6-Series,,2.0,1,AMD,4,128,0,0,0,128,2.2,Heavy,Budget,21258.72,No,0.2258333333333333,1.0623091763442639e-05,Balanced
ACER,Notebook,15.6,1366,768,Standard,0,HD,AMD,A9-Series,,3.0,2,AMD,4,0,1024,0,0,1024,2.1,Medium,Budget,21045.6,No,0.4133333333333333,1.9639893057614574e-05,High Value
DELL,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,128,1024,0,0,1152,2.65,Heavy,Mid-Range,71874.72,No,0.7058333333333333,9.82032811165502e-06,Balanced
HP,Ultrabook,15.6,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,8,256,0,0,0,256,1.83,Medium,Budget,37242.72,No,0.5650000000000001,1.5170750149290923e-05,High Value
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,1.96,Medium,Budget,31914.1872,No,0.5650000000000001,1.7703725194668283e-05,High Value
ASUS,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,128,1024,0,0,1152,2.2,Heavy,Mid-Range,77202.72,No,0.7058333333333333,9.142596702983175e-06,Balanced
DELL,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,256,0,0,0,256,1.21,Light,Premium,87858.72,No,0.5650000000000001,6.430778868619985e-06,Low Value
ASUS,Gaming,15.6,1920,1080,Standard,0,Full HD,AMD,FX,,3.0,5,AMD,8,0,1024,0,0,1024,2.45,Heavy,Budget,37242.72,No,0.74,1.986965506278811e-05,High Value
ACER,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,8,0,1024,0,0,1024,2.2,Heavy,Budget,36709.92,No,0.54,1.470992037029773e-05,High Value
HP,Notebook,13.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,16,512,0,0,0,512,1.49,Medium,Mid-Range,63776.16,No,0.6433333333333334,1.008736388853348e-05,Balanced
DELL,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,256,0,0,0,256,2.65,Heavy,Mid-Range,63669.6,No,0.5650000000000001,8.873936698204481e-06,Balanced
ASUS,Ultrabook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,Intel,8,256,0,0,0,256,1.25,Light,Mid-Range,55890.72,No,0.665,1.1898218523576008e-05,High Value
ACER,2 in 1 Convertible,13.3,1920,1080,IPS,1,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.5,Medium,Mid-Range,45128.16,No,0.4650000000000001,1.030398757671485e-05,Balanced
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,AMD,8,0,1024,0,0,1024,2.2,Heavy,Budget,31962.672,No,0.64,2.0023357246227725e-05,High Value
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,AMD,4,256,0,0,0,256,2.2,Heavy,Budget,25840.8,No,0.4383333333333333,1.696283912778758e-05,High Value
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,7.0,2.0,3,NVIDIA,6,256,0,0,0,256,2.0,Medium,Budget,30742.56,No,0.4516666666666667,1.4691901606979597e-05,High Value
HP,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,12,128,1024,0,0,1152,2.62,Heavy,Mid-Range,66546.72,No,0.6791666666666666,1.0205862387607782e-05,Balanced
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,AMD,8,256,0,0,0,256,1.91,Medium,Budget,38308.32,No,0.665,1.7359153311865415e-05,High Value
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,AMD,E-Series,,1.0,1,AMD,4,0,500,0,0,500,2.1,Medium,Budget,18594.72,No,0.1133333333333333,6.094920135034746e-06,Low Value
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,AMD,8,0,1024,0,0,1024,2.2,Heavy,Budget,34472.16,No,0.44,1.2763923119409981e-05,High Value
HP,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,256,0,0,0,256,1.38,Medium,Mid-Range,59620.32,No,0.665,1.1153915309411289e-05,Balanced
MICROSOFT,Ultrabook,13.5,2256,1504,Standard,1,Quad HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,1.25,Light,Mid-Range,71395.2,No,0.5650000000000001,7.913697279368922e-06,Balanced
HP,Notebook,14.0,1920,1080,IPS,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,6,256,0,0,0,256,1.58,Medium,Budget,35111.52,No,0.5516666666666666,1.5711842343101828e-05,High Value
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,Intel,4,0,1024,0,0,1024,1.85,Medium,Budget,22105.872,No,0.4133333333333333,1.869789770488734e-05,High Value
ASUS,Ultrabook,14.0,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,256,0,0,0,256,1.3,Medium,Mid-Range,63563.04,No,0.665,1.0462054678316204e-05,Balanced
MSI,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,1024,0,0,1280,2.2,Heavy,Mid-Range,69210.72,No,0.7183333333333334,1.0378931664535977e-05,Balanced
LENOVO,Notebook,14.0,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,Intel,8,256,0,0,0,256,1.58,Medium,Mid-Range,78854.4,No,0.665,8.433264345426508e-06,Balanced
ASUS,Ultrabook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,16,256,1024,0,0,1280,1.5,Medium,Mid-Range,67239.36,No,0.6183333333333334,9.196002658760188e-06,Balanced
DELL,Ultrabook,13.3,3200,1800,Standard,1,Quad HD+,Intel,i7,7.0,2.0,5,Intel,8,256,0,0,0,256,1.23,Light,Mid-Range,73473.12,No,0.665,9.050929101690525e-06,Balanced
LENOVO,2 in 1 Convertible,13.3,1920,1080,IPS,1,Full HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,1.37,Medium,Mid-Range,74538.72,No,0.5650000000000001,7.579953076736494e-06,Low Value
HP,Notebook,14.0,1366,768,IPS,0,HD,Intel,i5,8.0,1.0,4,Intel,4,0,500,0,0,500,1.63,Medium,Budget,38468.16,No,0.4133333333333333,1.0744816838999663e-05,Balanced
DELL,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.21,Light,Premium,86793.12,No,0.4650000000000001,5.357567512263646e-06,Low Value
HP,2 in 1 Convertible,13.3,1920,1080,IPS,1,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.26,Light,Mid-Range,74538.1872,No,0.4650000000000001,6.23841305332953e-06,Low Value
HP,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,512,0,0,0,512,1.63,Medium,Mid-Range,57755.52,No,0.5900000000000001,1.0215473776359386e-05,Balanced
DELL,Notebook,15.6,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,8,256,1024,0,0,1280,2.16,Medium,Mid-Range,60223.98239999999,No,0.5650000000000001,9.38164461206405e-06,Balanced
ASUS,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,NVIDIA,4,0,1024,0,0,1024,2.0,Medium,Budget,30049.92,No,0.4133333333333333,1.3754889641414464e-05,High Value
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,8,256,0,0,0,256,1.7,Medium,Mid-Range,59567.04,No,0.5650000000000001,9.485111229297277e-06,Balanced
ACER,Notebook,15.6,1920,1080,IPS,1,Full HD,Intel,i3,7.0,2.0,3,Intel,6,0,1024,0,0,1024,2.1,Medium,Budget,25521.12,No,0.4266666666666667,1.6718179557427993e-05,High Value
MSI,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,2048,0,0,2304,1.8,Medium,Premium,119427.12,No,0.7183333333333334,6.0148258899095395e-06,Low Value
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,256,0,0,0,256,2.2,Heavy,Budget,33513.119999999995,No,0.5650000000000001,1.6859068925841586e-05,High Value
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,16,512,0,0,0,512,2.5,Heavy,Mid-Range,67718.88,No,0.6433333333333334,9.50005867393751e-06,Balanced
