<<<<<<< HEAD
Company,laptop_type,screen_size_inch,display_resolution_width,display_resolution_height,panel_type,is_touchscreen,resolution_class,cpu_brand,cpu_family,cpu_generation,clock_speed_ghz,cpu_tier,gpu_brand,ram_gb,ssd_gb,hdd_gb,flash_gb,hybrid_gb,total_storage_gb,weight_kg,weight_class,price_band,Price,is_price_outlier,Performance_Score
ASUS,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.4,Medium,Mid-Range,50136.48,No,0.4650000000000001
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,1.86,Medium,Budget,36763.2,No,0.5650000000000001
ASUS,Ultrabook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,512,0,0,0,512,1.8,Medium,Premium,105654.24,No,0.7433333333333334
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,3,AMD,4,0,500,0,0,500,1.86,Medium,Budget,23373.4032,No,0.41333333333333333
HP,Notebook,14.0,1366,768,Standard,0,HD,Intel,Celeron,,1.0,1,Intel,4,32,0,0,0,32,1.44,Medium,Budget,12201.12,No,0.11645833333333333
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,Intel,4,0,1024,0,0,1024,1.9,Medium,Budget,29250.72,No,0.5133333333333333
ASUS,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,12,0,1024,0,0,1024,3.0,Heavy,Mid-Range,50562.72,No,0.6666666666666666
MICROSOFT,Ultrabook,13.5,2256,1504,Standard,1,Quad HD,Intel,i5,7.0,2.0,4,Intel,4,128,0,0,0,128,1.25,Light,Mid-Range,58021.92,No,0.5258333333333333
DELL,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,5,AMD,8,256,0,0,0,256,1.4,Medium,Mid-Range,50882.4,No,0.5650000000000001
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,AMD,8,256,0,0,0,256,2.2,Heavy,Mid-Range,46353.6,No,0.5650000000000001
MSI,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,128,1024,0,0,1152,2.7,Heavy,Mid-Range,58341.6,No,0.5525
ACER,Notebook,14.0,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,3,Intel,8,0,1024,0,0,1024,2.1,Medium,Budget,20725.92,No,0.44000000000000006
ASUS,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,0,1024,0,0,1024,2.2,Heavy,Mid-Range,50562.72,No,0.64
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,Intel,8,0,2048,0,0,2048,2.2,Heavy,Budget,27652.32,No,0.54
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,128,1024,0,0,1152,2.02,Medium,Mid-Range,45554.4,No,0.5525
ACER,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,7.0,2.0,3,NVIDIA,4,0,1024,0,0,1024,2.2,Heavy,Budget,28238.4,No,0.41333333333333333
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,NVIDIA,8,128,1024,0,0,1152,2.5,Heavy,Mid-Range,52054.56,No,0.45250000000000007
DELL,Ultrabook,15.6,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.88,Medium,Mid-Range,58403.4048,No,0.4650000000000001
APPLE,Ultrabook,12.0,2304,1440,IPS,0,Quad HD,Intel,i5,,1.0,4,Intel,8,512,0,0,0,512,0.92,Light,Premium,80452.8,No,0.49000000000000005
HP,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.63,Medium,Mid-Range,45820.8,No,0.4650000000000001
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,AMD,A6-Series,,2.0,1,AMD,4,128,0,0,0,128,2.2,Heavy,Budget,21258.72,No,0.22583333333333333
ACER,Notebook,15.6,1366,768,Standard,0,HD,AMD,A9-Series,,3.0,2,AMD,4,0,1024,0,0,1024,2.1,Medium,Budget,21045.6,No,0.41333333333333333
DELL,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,128,1024,0,0,1152,2.65,Heavy,Mid-Range,71874.72,No,0.7058333333333333
HP,Ultrabook,15.6,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,8,256,0,0,0,256,1.83,Medium,Budget,37242.72,No,0.5650000000000001
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,1.96,Medium,Budget,31914.1872,No,0.5650000000000001
ASUS,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,128,1024,0,0,1152,2.2,Heavy,Mid-Range,77202.72,No,0.7058333333333333
DELL,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,256,0,0,0,256,1.21,Light,Premium,87858.72,No,0.5650000000000001
ASUS,Gaming,15.6,1920,1080,Standard,0,Full HD,AMD,FX,,3.0,5,AMD,8,0,1024,0,0,1024,2.45,Heavy,Budget,37242.72,No,0.74
ACER,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,8,0,1024,0,0,1024,2.2,Heavy,Budget,36709.92,No,0.54
HP,Notebook,13.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,16,512,0,0,0,512,1.49,Medium,Mid-Range,63776.16,No,0.6433333333333334
DELL,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,256,0,0,0,256,2.65,Heavy,Mid-Range,63669.6,No,0.5650000000000001
ASUS,Ultrabook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,Intel,8,256,0,0,0,256,1.25,Light,Mid-Range,55890.72,No,0.665
ACER,2 in 1 Convertible,13.3,1920,1080,IPS,1,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.5,Medium,Mid-Range,45128.16,No,0.4650000000000001
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,AMD,8,0,1024,0,0,1024,2.2,Heavy,Budget,31962.672,No,0.64
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,AMD,4,256,0,0,0,256,2.2,Heavy,Budget,25840.8,No,0.43833333333333335
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,7.0,2.0,3,NVIDIA,6,256,0,0,0,256,2.0,Medium,Budget,30742.56,No,0.4516666666666667
HP,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,12,128,1024,0,0,1152,2.62,Heavy,Mid-Range,66546.72,No,0.6791666666666666
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,AMD,8,256,0,0,0,256,1.91,Medium,Budget,38308.32,No,0.665
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,AMD,E-Series,,1.0,1,AMD,4,0,500,0,0,500,2.1,Medium,Budget,18594.72,No,0.11333333333333333
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,AMD,8,0,1024,0,0,1024,2.2,Heavy,Budget,34472.16,No,0.44000000000000006
HP,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,256,0,0,0,256,1.38,Medium,Mid-Range,59620.32,No,0.665
MICROSOFT,Ultrabook,13.5,2256,1504,Standard,1,Quad HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,1.25,Light,Mid-Range,71395.2,No,0.5650000000000001
HP,Notebook,14.0,1920,1080,IPS,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,6,256,0,0,0,256,1.58,Medium,Budget,35111.52,No,0.5516666666666666
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,Intel,4,0,1024,0,0,1024,1.85,Medium,Budget,22105.872,No,0.41333333333333333
ASUS,Ultrabook,14.0,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,256,0,0,0,256,1.3,Medium,Mid-Range,63563.04,No,0.665
MSI,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,1024,0,0,1280,2.2,Heavy,Mid-Range,69210.72,No,0.7183333333333334
LENOVO,Notebook,14.0,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,Intel,8,256,0,0,0,256,1.58,Medium,Mid-Range,78854.4,No,0.665
ASUS,Ultrabook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,16,256,1024,0,0,1280,1.5,Medium,Mid-Range,67239.36,No,0.6183333333333334
DELL,Ultrabook,13.3,3200,1800,Standard,1,Quad HD+,Intel,i7,7.0,2.0,5,Intel,8,256,0,0,0,256,1.23,Light,Mid-Range,73473.12,No,0.665
LENOVO,2 in 1 Convertible,13.3,1920,1080,IPS,1,Full HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,1.37,Medium,Mid-Range,74538.72,No,0.5650000000000001
HP,Notebook,14.0,1366,768,IPS,0,HD,Intel,i5,8.0,1.0,4,Intel,4,0,500,0,0,500,1.63,Medium,Budget,38468.16,No,0.41333333333333333
DELL,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.21,Light,Premium,86793.12,No,0.4650000000000001
HP,2 in 1 Convertible,13.3,1920,1080,IPS,1,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.26,Light,Mid-Range,74538.1872,No,0.4650000000000001
HP,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,512,0,0,0,512,1.63,Medium,Mid-Range,57755.52,No,0.5900000000000001
DELL,Notebook,15.6,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,8,256,1024,0,0,1280,2.16,Medium,Mid-Range,60223.98239999999,No,0.5650000000000001
ASUS,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,NVIDIA,4,0,1024,0,0,1024,2.0,Medium,Budget,30049.92,No,0.41333333333333333
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,8,256,0,0,0,256,1.7,Medium,Mid-Range,59567.04,No,0.5650000000000001
ACER,Notebook,15.6,1920,1080,IPS,1,Full HD,Intel,i3,7.0,2.0,3,Intel,6,0,1024,0,0,1024,2.1,Medium,Budget,25521.12,No,0.4266666666666667
MSI,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,2048,0,0,2304,1.8,Medium,Premium,119427.12,No,0.7183333333333334
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,256,0,0,0,256,2.2,Heavy,Budget,33513.119999999995,No,0.5650000000000001
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,16,512,0,0,0,512,2.5,Heavy,Mid-Range,67718.88,No,0.6433333333333334
ACER,Notebook,15.6,1366,768,Standard,0,HD,AMD,A9-Series,,3.0,2,AMD,4,256,0,0,0,256,2.1,Medium,Budget,24029.28,No,0.43833333333333335
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,Celeron,,1.0,1,Intel,4,0,500,0,0,500,1.86,Medium,Budget,13799.52,No,0.11333333333333333
HP,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,0,1024,0,0,1024,1.63,Medium,Mid-Range,43263.36,No,0.44000000000000006
ASUS,Notebook,14.0,1366,768,Standard,0,HD,AMD,E-Series,,1.0,1,AMD,4,64,0,0,0,64,1.65,Medium,Budget,14811.3072,No,0.11958333333333333
DELL,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,AMD,16,256,2048,0,0,2304,2.8,Heavy,Mid-Range,74378.87999999999,No,0.6183333333333334
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,2.5,Heavy,Mid-Range,49443.84,No,0.4650000000000001
DELL,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,4,AMD,8,0,1024,0,0,1024,2.36,Heavy,Budget,34045.3872,No,0.54
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,AMD,4,0,1024,0,0,1024,2.2,Heavy,Budget,23922.72,No,0.41333333333333333
ACER,Ultrabook,14.0,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,256,0,0,0,256,1.6,Medium,Mid-Range,47099.52,No,0.5650000000000001
ACER,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,7.0,2.0,3,NVIDIA,4,256,0,0,0,256,2.2,Heavy,Budget,30476.16,No,0.43833333333333335
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,i7,7.0,2.0,5,Intel,8,0,1024,0,0,1024,2.05,Medium,Budget,31861.44,No,0.64
HP,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,256,0,0,0,256,1.63,Medium,Mid-Range,52640.64,No,0.5650000000000001
LENOVO,Notebook,15.6,1366,768,Standard,0,HD,Intel,Celeron,,1.0,1,Intel,4,0,1024,0,0,1024,1.9,Medium,Budget,13445.7408,No,0.11333333333333333
ASUS,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,128,1024,0,0,1152,3.0,Heavy,Mid-Range,49976.64,No,0.5525
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,4,0,1024,0,0,1024,2.2,Heavy,Budget,26586.72,No,0.5133333333333333
HP,Notebook,13.3,1920,1080,IPS,0,Full HD,Intel,i5,7.0,2.0,4,Intel,4,256,0,0,0,256,1.32,Medium,Budget,37242.72,No,0.5383333333333333
ACER,Notebook,17.3,1920,1080,IPS,0,Full HD,Intel,i3,7.0,2.0,3,NVIDIA,4,0,1024,0,0,1024,3.0,Heavy,Budget,34898.4,No,0.41333333333333333
LENOVO,Notebook,14.0,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,AMD,8,256,0,0,0,256,1.75,Medium,Mid-Range,59461.5456,No,0.4650000000000001
LENOVO,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,8,256,0,0,0,256,2.4,Heavy,Mid-Range,46300.32,No,0.665
TOSHIBA,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,6.0,2.0,4,Intel,4,0,500,0,0,500,2.1,Medium,Budget,32074.56,No,0.5133333333333333
HP,Notebook,15.6,1366,768,Standard,0,HD,AMD,A6-Series,,2.0,1,AMD,4,256,0,0,0,256,1.86,Medium,Budget,19660.32,No,0.2383333333333333
