Company,laptop_type,screen_size_inch,display_resolution_width,display_resolution_height,panel_type,is_touchscreen,resolution_class,cpu_brand,cpu_family,cpu_generation,clock_speed_ghz,cpu_tier,gpu_brand,ram_gb,ssd_gb,hdd_gb,flash_gb,hybrid_gb,total_storage_gb,weight_kg,weight_class,price_band,Price,is_price_outlier,cpu_tier_numeric,ssd_indicator,hardware_cluster,cluster,Market_cluster
HP,Ultrabook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,Intel,8,256,0,0,0,256,1.91,Medium,Budget,35111.52,No,5,1,2,2,2
DELL,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,Mid,Intel,4,0,1024,0,0,1024,2.3,Heavy,Budget,22305.1392,No,3,0,2,1,2
APPLE,Ultrabook,13.3,1440,900,Standard,0,HD+,Intel,i5,,1.0,Upper-Mid,Intel,8,0,0,128,0,128,1.35,Medium,Mid-Range,58554.72,No,4,0,0,2,0
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,AMD,8,256,0,0,0,256,2.2,Heavy,Mid-Range,42624.0,No,4,1,2,2,2
DELL,Ultrabook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,Intel,8,512,0,0,0,512,1.88,Medium,Mid-Range,69157.44,No,5,1,0,2,0
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,NVIDIA,8,0,1024,0,0,1024,2.5,Heavy,Mid-Range,47738.88,No,4,0,2,1,2
CHUWI,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,Atom,,1.0,Entry,Intel,4,0,0,64,0,64,1.89,Medium,Budget,13053.0672,No,1,0,2,2,2
ASUS,Notebook,14.0,1366,768,Standard,0,HD,AMD,E-Series,,1.0,Entry,AMD,2,0,0,32,0,32,1.65,Medium,Budget,10602.72,No,1,0,2,2,2
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,AMD,A6-Series,,2.0,Entry,AMD,4,0,500,0,0,500,2.71,Heavy,Budget,23389.92,No,1,0,2,1,2
DELL,Ultrabook,13.3,3200,1800,Standard,1,Quad HD+,Intel,i7,8.0,1.0,High,Intel,16,512,0,0,0,512,1.2,Light,Premium,99580.32,No,5,1,0,0,0
APPLE,Ultrabook,13.3,1440,900,Standard,0,HD+,Intel,i5,,1.0,Upper-Mid,Intel,8,0,0,256,0,256,1.35,Medium,Mid-Range,53173.44,No,4,0,2,2,2
LENOVO,Notebook,14.0,1366,768,Standard,0,HD,Intel,Celeron,,1.0,Entry,Intel,4,0,0,64,0,64,1.44,Medium,Budget,13266.72,No,1,0,2,2,2
ACER,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,7.0,2.0,Mid,Intel,4,0,1024,0,0,1024,2.1,Medium,Budget,19553.76,No,3,0,2,1,2
DELL,Notebook,17.3,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,AMD,8,128,1024,0,0,1152,2.8,Heavy,Mid-Range,52161.12,No,4,1,2,1,2
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,Upper-Mid,Intel,4,0,1024,0,0,1024,1.86,Medium,Budget,26037.4032,No,4,0,2,1,2
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,NVIDIA,8,256,0,0,0,256,2.1,Medium,Mid-Range,46833.12,No,4,1,2,2,2
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,Mid,Intel,4,0,1024,0,0,1024,2.0,Medium,Budget,20725.92,No,3,0,2,1,2
DELL,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,High,NVIDIA,16,256,1024,0,0,1280,2.65,Heavy,Mid-Range,79866.72,No,5,1,0,1,0
ASUS,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,Upper-Mid,NVIDIA,8,0,1024,0,0,1024,2.3,Heavy,Budget,27864.9072,No,4,0,2,1,2
ACER,Notebook,15.6,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,4,256,0,0,0,256,2.2,Heavy,Budget,36336.96,No,4,1,2,2,2
DELL,2 in 1 Convertible,17.3,1920,1080,Standard,1,Full HD,Intel,i5,8.0,1.0,Upper-Mid,NVIDIA,12,0,1024,0,0,1024,2.77,Heavy,Mid-Range,53226.72,No,4,0,2,1,2
APPLE,Ultrabook,13.3,2560,1600,IPS,0,Quad HD+,Intel,i5,,2.0,Upper-Mid,Intel,8,256,0,0,0,256,1.37,Medium,Mid-Range,75604.31999999999,No,4,1,0,2,0
LENOVO,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,Mid,Intel,4,128,0,0,0,128,2.2,Heavy,Budget,19660.32,No,3,1,2,2,2
ASUS,Gaming,17.3,1920,1080,Standard,0,Full HD,AMD,Ryzen,1.0,3.0,High,AMD,8,256,1024,0,0,1280,3.2,Heavy,Mid-Range,69210.72,No,5,1,0,1,0
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,Upper-Mid,AMD,4,256,0,0,0,256,2.3,Heavy,Budget,34045.92,No,4,1,2,2,2
ASUS,Notebook,17.3,1366,768,Standard,0,HD,Intel,Pentium,,1.0,Entry,NVIDIA,4,0,1024,0,0,1024,2.8,Heavy,Budget,24828.48,No,1,0,2,1,2
LENOVO,2 in 1 Convertible,10.1,1920,1200,IPS,1,Full HD,Intel,Atom,,1.0,Entry,Intel,4,0,0,64,0,64,0.69,Light,Budget,16996.32,No,1,0,2,0,2
ACER,Notebook,15.6,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,High,NVIDIA,8,256,0,0,0,256,2.2,Heavy,Mid-Range,44808.48,No,5,1,2,2,2
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,AMD,A6-Series,,2.0,Entry,AMD,4,256,0,0,0,256,1.86,Medium,Budget,21231.5472,No,1,1,2,2,2
HP,Notebook,13.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,Intel,8,512,0,0,0,512,1.49,Medium,Mid-Range,58767.84,No,5,1,0,2,0
ACER,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,7.0,2.0,Mid,Intel,4,0,1024,0,0,1024,2.4,Heavy,Budget,20459.52,No,3,0,2,1,2
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,AMD,8,256,0,0,0,256,2.13,Medium,Mid-Range,40908.384,No,5,1,2,2,2
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,Mid,Intel,4,128,0,0,0,128,1.91,Medium,Budget,23389.92,No,3,1,2,2,2
ASUS,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,Upper-Mid,Intel,4,256,0,0,0,256,2.0,Medium,Budget,31232.203200000004,No,4,1,2,2,2
MSI,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,High,NVIDIA,16,256,2048,0,0,2304,2.43,Heavy,Premium,130482.72,No,5,1,1,1,1
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,Mid,Intel,4,256,0,0,0,256,2.0,Medium,Budget,22111.2,No,3,1,2,2,2
DELL,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,AMD,16,256,2048,0,0,2304,2.8,Heavy,Mid-Range,69210.72,No,5,1,0,1,0
DELL,Ultrabook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,8,256,0,0,0,256,1.7,Medium,Mid-Range,46833.12,No,4,1,2,2,2
LENOVO,Notebook,14.0,1920,1080,IPS,0,Full HD,Intel,i3,7.0,2.0,Mid,Intel,8,256,0,0,0,256,1.7,Medium,Budget,31914.72,No,3,1,2,2,2
ASUS,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,8,256,0,0,0,256,1.4,Medium,Mid-Range,50136.48,No,4,1,2,2,2
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,Upper-Mid,Intel,8,256,0,0,0,256,1.86,Medium,Budget,36763.2,No,4,1,2,2,2
ASUS,Ultrabook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,High,NVIDIA,16,512,0,0,0,512,1.8,Medium,Premium,105654.24,No,5,1,0,1,0
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,Mid,AMD,4,0,500,0,0,500,1.86,Medium,Budget,23373.4032,No,3,0,2,2,2
HP,Notebook,14.0,1366,768,Standard,0,HD,Intel,Celeron,,1.0,Entry,Intel,4,32,0,0,0,32,1.44,Medium,Budget,12201.12,No,1,1,2,2,2
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,Upper-Mid,Intel,4,0,1024,0,0,1024,1.9,Medium,Budget,29250.72,No,4,0,2,1,2
ASUS,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,High,NVIDIA,12,0,1024,0,0,1024,3.0,Heavy,Mid-Range,50562.72,No,5,0,2,1,2
MICROSOFT,Ultrabook,13.5,2256,1504,Standard,1,Quad HD,Intel,i5,7.0,2.0,Upper-Mid,Intel,4,128,0,0,0,128,1.25,Light,Mid-Range,58021.92,No,4,1,0,0,0
DELL,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,High,AMD,8,256,0,0,0,256,1.4,Medium,Mid-Range,50882.4,No,5,1,2,2,2
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,AMD,8,256,0,0,0,256,2.2,Heavy,Mid-Range,46353.6,No,5,1,2,2,2
MSI,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,Upper-Mid,NVIDIA,8,128,1024,0,0,1152,2.7,Heavy,Mid-Range,58341.6,No,4,1,0,1,0
ACER,Notebook,14.0,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,Mid,Intel,8,0,1024,0,0,1024,2.1,Medium,Budget,20725.92,No,3,0,2,2,2
ASUS,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,High,NVIDIA,8,0,1024,0,0,1024,2.2,Heavy,Mid-Range,50562.72,No,5,0,2,1,2
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,Upper-Mid,Intel,8,0,2048,0,0,2048,2.2,Heavy,Budget,27652.32,No,4,0,2,1,2
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,Intel,8,128,1024,0,0,1152,2.02,Medium,Mid-Range,45554.4,No,5,1,2,1,2
ACER,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,7.0,2.0,Mid,NVIDIA,4,0,1024,0,0,1024,2.2,Heavy,Budget,28238.4,No,3,0,2,1,2
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,NVIDIA,8,128,1024,0,0,1152,2.5,Heavy,Mid-Range,52054.56,No,4,1,2,1,2
DELL,Ultrabook,15.6,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,8,256,0,0,0,256,1.88,Medium,Mid-Range,58403.4048,No,4,1,0,2,0
APPLE,Ultrabook,12.0,2304,1440,IPS,0,Quad HD,Intel,i5,,1.0,Upper-Mid,Intel,8,512,0,0,0,512,0.92,Light,Premium,80452.8,No,4,1,0,2,0
HP,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,8,256,0,0,0,256,1.63,Medium,Mid-Range,45820.8,No,4,1,2,2,2
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,AMD,A6-Series,,2.0,Entry,AMD,4,128,0,0,0,128,2.2,Heavy,Budget,21258.72,No,1,1,2,2,2
ACER,Notebook,15.6,1366,768,Standard,0,HD,AMD,A9-Series,,3.0,Lower-Mid,AMD,4,0,1024,0,0,1024,2.1,Medium,Budget,21045.6,No,2,0,2,1,2
DELL,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,High,NVIDIA,16,128,1024,0,0,1152,2.65,Heavy,Mid-Range,71874.72,No,5,1,0,1,0
HP,Ultrabook,15.6,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,High,NVIDIA,8,256,0,0,0,256,1.83,Medium,Budget,37242.72,No,5,1,2,2,2
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,Upper-Mid,Intel,8,256,0,0,0,256,1.96,Medium,Budget,31914.1872,No,4,1,2,2,2
ASUS,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,High,NVIDIA,16,128,1024,0,0,1152,2.2,Heavy,Mid-Range,77202.72,No,5,1,0,1,0
DELL,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,High,Intel,8,256,0,0,0,256,1.21,Light,Premium,87858.72,No,5,1,0,2,0
ASUS,Gaming,15.6,1920,1080,Standard,0,Full HD,AMD,FX,,3.0,High,AMD,8,0,1024,0,0,1024,2.45,Heavy,Budget,37242.72,No,5,0,2,1,2
ACER,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,NVIDIA,8,0,1024,0,0,1024,2.2,Heavy,Budget,36709.92,No,5,0,2,1,2
HP,Notebook,13.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,Intel,16,512,0,0,0,512,1.49,Medium,Mid-Range,63776.16,No,5,1,0,2,0
DELL,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,Upper-Mid,NVIDIA,8,256,0,0,0,256,2.65,Heavy,Mid-Range,63669.6,No,4,1,0,2,0
ASUS,Ultrabook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,High,Intel,8,256,0,0,0,256,1.25,Light,Mid-Range,55890.72,No,5,1,2,2,2
ACER,2 in 1 Convertible,13.3,1920,1080,IPS,1,Full HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,8,256,0,0,0,256,1.5,Medium,Mid-Range,45128.16,No,4,1,2,0,2
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,High,AMD,8,0,1024,0,0,1024,2.2,Heavy,Budget,31962.672,No,5,0,2,1,2
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,Mid,AMD,4,256,0,0,0,256,2.2,Heavy,Budget,25840.8,No,3,1,2,2,2
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,7.0,2.0,Mid,NVIDIA,6,256,0,0,0,256,2.0,Medium,Budget,30742.56,No,3,1,2,2,2
HP,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,High,NVIDIA,12,128,1024,0,0,1152,2.62,Heavy,Mid-Range,66546.72,No,5,1,0,1,0
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,High,AMD,8,256,0,0,0,256,1.91,Medium,Budget,38308.32,No,5,1,2,2,2
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,AMD,E-Series,,1.0,Entry,AMD,4,0,500,0,0,500,2.1,Medium,Budget,18594.72,No,1,0,2,2,2
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,AMD,8,0,1024,0,0,1024,2.2,Heavy,Budget,34472.16,No,4,0,2,1,2
HP,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,High,NVIDIA,8,256,0,0,0,256,1.38,Medium,Mid-Range,59620.32,No,5,1,0,2,0
MICROSOFT,Ultrabook,13.5,2256,1504,Standard,1,Quad HD,Intel,i5,7.0,2.0,Upper-Mid,Intel,8,256,0,0,0,256,1.25,Light,Mid-Range,71395.2,No,4,1,0,0,0
HP,Notebook,14.0,1920,1080,IPS,0,Full HD,Intel,i5,7.0,2.0,Upper-Mid,NVIDIA,6,256,0,0,0,256,1.58,Medium,Budget,35111.52,No,4,1,2,2,2
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,Mid,Intel,4,0,1024,0,0,1024,1.85,Medium,Budget,22105.872,No,3,0,2,1,2
ASUS,Ultrabook,14.0,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,High,NVIDIA,8,256,0,0,0,256,1.3,Medium,Mid-Range,63563.04,No,5,1,0,2,0
MSI,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,High,NVIDIA,16,256,1024,0,0,1280,2.2,Heavy,Mid-Range,69210.72,No,5,1,0,1,0
LENOVO,Notebook,14.0,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,High,Intel,8,256,0,0,0,256,1.58,Medium,Mid-Range,78854.4,No,5,1,0,2,0
ASUS,Ultrabook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,NVIDIA,16,256,1024,0,0,1280,1.5,Medium,Mid-Range,67239.36,No,5,1,0,1,0
DELL,Ultrabook,13.3,3200,1800,Standard,1,Quad HD+,Intel,i7,7.0,2.0,High,Intel,8,256,0,0,0,256,1.23,Light,Mid-Range,73473.12,No,5,1,0,0,0
LENOVO,2 in 1 Convertible,13.3,1920,1080,IPS,1,Full HD,Intel,i5,7.0,2.0,Upper-Mid,Intel,8,256,0,0,0,256,1.37,Medium,Mid-Range,74538.72,No,4,1,0,0,0
HP,Notebook,14.0,1366,768,IPS,0,HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,4,0,500,0,0,500,1.63,Medium,Budget,38468.16,No,4,0,2,2,2
DELL,Ultrabook,13.3,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,8,256,0,0,0,256,1.21,Light,Premium,86793.12,No,4,1,0,2,0
HP,2 in 1 Convertible,13.3,1920,1080,IPS,1,Full HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,8,256,0,0,0,256,1.26,Light,Mid-Range,74538.1872,No,4,1,0,0,0
HP,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,Intel,8,512,0,0,0,512,1.63,Medium,Mid-Range,57755.52,No,5,1,0,2,0
DELL,Notebook,15.6,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,High,NVIDIA,8,256,1024,0,0,1280,2.16,Medium,Mid-Range,60223.98239999999,No,5,1,0,1,0
ASUS,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,Mid,NVIDIA,4,0,1024,0,0,1024,2.0,Medium,Budget,30049.92,No,3,0,2,1,2
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,NVIDIA,8,256,0,0,0,256,1.7,Medium,Mid-Range,59567.04,No,5,1,0,2,0
ACER,Notebook,15.6,1920,1080,IPS,1,Full HD,Intel,i3,7.0,2.0,Mid,Intel,6,0,1024,0,0,1024,2.1,Medium,Budget,25521.12,No,3,0,2,0,2
MSI,Gaming,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,High,NVIDIA,16,256,2048,0,0,2304,1.8,Medium,Premium,119427.12,No,5,1,1,1,1
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,Upper-Mid,NVIDIA,8,256,0,0,0,256,2.2,Heavy,Budget,33513.119999999995,No,4,1,2,2,2
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,NVIDIA,16,512,0,0,0,512,2.5,Heavy,Mid-Range,67718.88,No,5,1,0,1,0
ACER,Notebook,15.6,1366,768,Standard,0,HD,AMD,A9-Series,,3.0,Lower-Mid,AMD,4,256,0,0,0,256,2.1,Medium,Budget,24029.28,No,2,1,2,2,2
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,Celeron,,1.0,Entry,Intel,4,0,500,0,0,500,1.86,Medium,Budget,13799.52,No,1,0,2,2,2
HP,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,8,0,1024,0,0,1024,1.63,Medium,Mid-Range,43263.36,No,4,0,2,2,2
ASUS,Notebook,14.0,1366,768,Standard,0,HD,AMD,E-Series,,1.0,Entry,AMD,4,64,0,0,0,64,1.65,Medium,Budget,14811.3072,No,1,1,2,2,2
DELL,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,AMD,16,256,2048,0,0,2304,2.8,Heavy,Mid-Range,74378.87999999999,No,5,1,0,1,0
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,8,256,0,0,0,256,2.5,Heavy,Mid-Range,49443.84,No,4,1,2,2,2
DELL,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,Upper-Mid,AMD,8,0,1024,0,0,1024,2.36,Heavy,Budget,34045.3872,No,4,0,2,1,2
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,Mid,AMD,4,0,1024,0,0,1024,2.2,Heavy,Budget,23922.72,No,3,0,2,1,2
ACER,Ultrabook,14.0,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,High,Intel,8,256,0,0,0,256,1.6,Medium,Mid-Range,47099.52,No,5,1,2,2,2
ACER,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,7.0,2.0,Mid,NVIDIA,4,256,0,0,0,256,2.2,Heavy,Budget,30476.16,No,3,1,2,2,2
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,i7,7.0,2.0,High,Intel,8,0,1024,0,0,1024,2.05,Medium,Budget,31861.44,No,5,0,2,1,2
HP,Notebook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,Intel,8,256,0,0,0,256,1.63,Medium,Mid-Range,52640.64,No,5,1,2,2,2
LENOVO,Notebook,15.6,1366,768,Standard,0,HD,Intel,Celeron,,1.0,Entry,Intel,4,0,1024,0,0,1024,1.9,Medium,Budget,13445.7408,No,1,0,2,2,2
ASUS,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,Upper-Mid,NVIDIA,8,128,1024,0,0,1152,3.0,Heavy,Mid-Range,49976.64,No,4,1,2,1,2
