Company,laptop_type,screen_size_inch,display_resolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,display_resolution_width,display_resolution_height,panel_type,is_touchscreen,resolution_class,cpu_brand,cpu_family,cpu_model,cpu_generation,clock_speed_ghz,cpu_tier,gpu_brand,price_band,ram_gb,ssd_gb,hdd_gb,flash_gb,hybrid_gb,total_storage_gb,weight_kg,weight_class,suspect_flag,data_quality_score,data_quality_category,is_price_outlier
DELL,"2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"256GB SSD","Intel UHD Graphics 620",Windows,1.62kg,43636.32,1920,1080,NULL,Yes,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,Intel,Mid-Range,8,256,0,0,0,256,1.62,Medium,No,14,Excellent,No
HP,Ultrabook,15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"256GB SSD","Intel HD Graphics 620",Windows,1.91kg,35111.52,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,Intel,Budget,8,256,0,0,0,256,1.91,Medium,No,14,Excellent,No
DELL,Notebook,15.6,1366x768,"Intel Core i3 6006U 2GHz",4GB,"1TB HDD","Intel HD Graphics 520",Windows,2.3kg,22305.139199999998,1366,768,NULL,No,HD,Intel,i3,6006U,6,2.00,Mid,Intel,Budget,4,0,1024,0,0,1024,2.30,Heavy,No,14,Excellent,No
APPLE,Ultrabook,13.3,1440x900,"Intel Core i5 1.6GHz",8GB,"128GB Flash Storage","Intel HD Graphics 6000",macOS,1.35kg,58554.72,1440,900,NULL,No,HD+,Intel,i5,NULL,NULL,1.00,Upper-Mid,Intel,Mid-Range,8,0,0,128,0,128,1.35,Medium,No,12,Good,No
DELL,Notebook,15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"256GB SSD","AMD Radeon 530",Windows,2.2kg,42624,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,AMD,Mid-Range,8,256,0,0,0,256,2.20,Heavy,No,14,Excellent,No
DELL,Ultrabook,15.6,"Full HD 1920x1080","Intel Core i7 8650U 1.9GHz",8GB,"256GB SSD +  256GB SSD","Intel UHD Graphics 620",Windows,1.88kg,69157.44,1920,1080,NULL,No,"Full HD",Intel,i7,8650U,8,1.00,High,Intel,Mid-Range,8,512,0,0,0,512,1.88,Medium,No,14,Excellent,No
HP,Notebook,17.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"1TB HDD","Nvidia GeForce 930MX",Windows,2.5kg,47738.88,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,NVIDIA,Mid-Range,8,0,1024,0,0,1024,2.50,Heavy,No,14,Excellent,No
CHUWI,Notebook,15.6,"Full HD 1920x1080","Intel Atom x5-Z8300 1.44GHz",4GB,"64GB Flash Storage","Intel HD Graphics",Windows,1.89kg,13053.067200000001,1920,1080,NULL,No,"Full HD",Intel,Atom,x5-Z8300,NULL,1.00,Entry,Intel,Budget,4,0,0,64,0,64,1.89,Medium,No,14,Excellent,No
ASUS,Notebook,14,1366x768,"AMD E-Series E2-6110 1.5GHz",2GB,"32GB Flash Storage","AMD Radeon R2",Windows,1.65kg,10602.72,1366,768,NULL,No,HD,AMD,E-Series,E2-6110,NULL,1.00,Entry,AMD,Budget,2,0,0,32,0,32,1.65,Medium,No,14,Excellent,No
HP,Notebook,17.3,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz",4GB,"500GB HDD","AMD Radeon 530",Windows,2.71kg,23389.92,1920,1080,NULL,No,"Full HD",AMD,A6-Series,9220,NULL,2.00,Entry,AMD,Budget,4,0,500,0,0,500,2.71,Heavy,No,14,Excellent,No
DELL,Ultrabook,13.3,"Touchscreen / Quad HD+ 3200x1800","Intel Core i7 8550U 1.8GHz",16GB,"512GB SSD","Intel UHD Graphics 620",Windows,1.2kg,99580.31999999999,3200,1800,NULL,Yes,"Quad HD+",Intel,i7,8550U,8,1.00,High,Intel,Premium,16,512,0,0,0,512,1.20,Light,No,14,Excellent,No
APPLE,Ultrabook,13.3,1440x900,"Intel Core i5 1.6GHz",8GB,"256GB Flash Storage","Intel HD Graphics 6000",macOS,1.35kg,53173.439999999995,1440,900,NULL,No,HD+,Intel,i5,NULL,NULL,1.00,Upper-Mid,Intel,Mid-Range,8,0,0,256,0,256,1.35,Medium,No,12,Good,No
LENOVO,Notebook,14,1366x768,"Intel Celeron Dual Core N3350 1.1GHz",4GB,"64GB Flash Storage","Intel HD Graphics 500",Windows,1.44kg,13266.72,1366,768,NULL,No,HD,Intel,Celeron,3350,NULL,1.00,Entry,Intel,Budget,4,0,0,64,0,64,1.44,Medium,No,14,Excellent,No
ACER,Notebook,15.6,1366x768,"Intel Core i3 7130U 2.7GHz",4GB,"1TB HDD","Intel HD Graphics 620",Linux,2.1kg,19553.76,1366,768,NULL,No,HD,Intel,i3,7130U,7,2.00,Mid,Intel,Budget,4,0,1024,0,0,1024,2.10,Medium,No,14,Excellent,No
DELL,Notebook,17.3,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"128GB SSD +  1TB HDD","AMD Radeon 530",Windows,2.8kg,52161.119999999995,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,AMD,Mid-Range,8,128,1024,0,0,1152,2.80,Heavy,No,14,Excellent,No
HP,Notebook,15.6,1366x768,"Intel Core i5 7200U 2.5GHz",4GB,"1TB HDD","Intel HD Graphics 620",Windows,1.86kg,26037.403199999997,1366,768,NULL,No,HD,Intel,i5,7200U,7,2.00,Upper-Mid,Intel,Budget,4,0,1024,0,0,1024,1.86,Medium,No,14,Excellent,No
HP,Notebook,15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"256GB SSD","Nvidia GeForce 930MX",Windows,2.1kg,46833.119999999995,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,NVIDIA,Mid-Range,8,256,0,0,0,256,2.10,Medium,No,14,Excellent,No
ASUS,Notebook,15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4GB,"1TB HDD","Intel HD Graphics 620",Linux,2kg,20725.92,1920,1080,NULL,No,"Full HD",Intel,i3,6006U,6,2.00,Mid,Intel,Budget,4,0,1024,0,0,1024,2.00,Medium,No,14,Excellent,No
DELL,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16GB,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060",Windows,2.65kg,79866.72,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Mid-Range,16,256,1024,0,0,1280,2.65,Heavy,No,14,Excellent,No
ASUS,Notebook,15.6,1366x768,"Intel Core i5 7200U 2.5GHz",8GB,"1TB HDD","Nvidia GeForce 940MX",Linux,2.3kg,27864.9072,1366,768,NULL,No,HD,Intel,i5,7200U,7,2.00,Upper-Mid,NVIDIA,Budget,8,0,1024,0,0,1024,2.30,Heavy,No,14,Excellent,No
ACER,Notebook,15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",4GB,"256GB SSD","Intel UHD Graphics 620",Windows,2.2kg,36336.96,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,Intel,Budget,4,256,0,0,0,256,2.20,Heavy,No,14,Excellent,No
DELL,"2 in 1 Convertible",17.3,"Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",12GB,"1TB HDD","Nvidia GeForce 150MX",Windows,2.77kg,53226.72,1920,1080,NULL,Yes,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,NVIDIA,Mid-Range,12,0,1024,0,0,1024,2.77,Heavy,No,14,Excellent,No
APPLE,Ultrabook,13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 2.0GHz",8GB,"256GB SSD","Intel Iris Graphics 540",macOS,1.37kg,75604.31999999999,2560,1600,NULL,No,"Quad HD+",Intel,i5,NULL,NULL,2.00,Upper-Mid,Intel,Mid-Range,8,256,0,0,0,256,1.37,Medium,No,12,Good,No
LENOVO,Notebook,15.6,1366x768,"Intel Core i3 6006U 2GHz",4GB,"128GB SSD","Intel HD Graphics 520","Not Specified",2.2kg,19660.32,1366,768,NULL,No,HD,Intel,i3,6006U,6,2.00,Mid,Intel,Budget,4,128,0,0,0,128,2.20,Heavy,No,14,Excellent,No
ASUS,Gaming,17.3,"Full HD 1920x1080","AMD Ryzen 1700 3GHz",8GB,"256GB SSD +  1TB HDD","AMD Radeon RX 580",Windows,3.2kg,69210.72,1920,1080,NULL,No,"Full HD",AMD,Ryzen,1700,1,3.00,High,AMD,Mid-Range,8,256,1024,0,0,1280,3.20,Heavy,No,14,Excellent,No
DELL,Notebook,15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4GB,"256GB SSD","AMD Radeon R5 M430",Windows,2.3kg,34045.92,1920,1080,NULL,No,"Full HD",Intel,i5,7200U,7,2.00,Upper-Mid,AMD,Budget,4,256,0,0,0,256,2.30,Heavy,No,14,Excellent,No
ASUS,Notebook,17.3,1366x768,"Intel Pentium Quad Core N4200 1.1GHz",4GB,"1TB HDD","Nvidia GeForce 920MX",Windows,2.8kg,24828.48,1366,768,NULL,No,HD,Intel,Pentium,4200,NULL,1.00,Entry,NVIDIA,Budget,4,0,1024,0,0,1024,2.80,Heavy,No,14,Excellent,No
LENOVO,"2 in 1 Convertible",10.1,"IPS Panel Touchscreen 1920x1200","Intel Atom x5-Z8550 1.44GHz",4GB,"64GB Flash Storage","Intel HD Graphics 400","Not Specified",0.69kg,16996.32,1920,1200,NULL,Yes,"Full HD",Intel,Atom,x5-Z8550,NULL,1.00,Entry,Intel,Budget,4,0,0,64,0,64,0.69,Light,No,14,Excellent,No
ACER,Notebook,15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"256GB SSD","Nvidia GeForce MX150",Windows,2.2kg,44808.479999999996,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,NVIDIA,Mid-Range,8,256,0,0,0,256,2.20,Heavy,No,14,Excellent,No
HP,Notebook,15.6,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz",4GB,"256GB SSD","AMD Radeon R4 Graphics",Windows,1.86kg,21231.5472,1920,1080,NULL,No,"Full HD",AMD,A6-Series,9220,NULL,2.00,Entry,AMD,Budget,4,256,0,0,0,256,1.86,Medium,No,14,Excellent,No
HP,Notebook,13.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"512GB SSD","Intel UHD Graphics 620",Windows,1.49kg,58767.84,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,Intel,Mid-Range,8,512,0,0,0,512,1.49,Medium,No,14,Excellent,No
ACER,Notebook,15.6,1366x768,"Intel Core i3 7100U 2.4GHz",4GB,"1TB HDD","Intel HD Graphics 620",Windows,2.4kg,20459.52,1366,768,NULL,No,HD,Intel,i3,7100U,7,2.00,Mid,Intel,Budget,4,0,1024,0,0,1024,2.40,Heavy,No,14,Excellent,No
DELL,Notebook,15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"256GB SSD","AMD Radeon 520",Windows,2.13kg,40908.384,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,AMD,Mid-Range,8,256,0,0,0,256,2.13,Medium,No,14,Excellent,No
HP,Notebook,15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4GB,"128GB SSD","Intel HD Graphics 520",Windows,1.91kg,23389.92,1920,1080,NULL,No,"Full HD",Intel,i3,6006U,6,2.00,Mid,Intel,Budget,4,128,0,0,0,128,1.91,Medium,No,14,Excellent,No
ASUS,Notebook,15.6,1366x768,"Intel Core i5 7200U 2.5GHz",4GB,"256GB SSD","Intel HD Graphics 620",Windows,2kg,31232.203200000004,1366,768,NULL,No,HD,Intel,i5,7200U,7,2.00,Upper-Mid,Intel,Budget,4,256,0,0,0,256,2.00,Medium,No,14,Excellent,No
MSI,Gaming,17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16GB,"256GB SSD +  2TB HDD","Nvidia GeForce GTX 1070",Windows,2.43kg,130482.72,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Premium,16,256,2048,0,0,2304,2.43,Heavy,No,14,Excellent,No
ASUS,Notebook,15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4GB,"256GB SSD","Intel HD Graphics 520",Linux,2kg,22111.2,1920,1080,NULL,No,"Full HD",Intel,i3,6006U,6,2.00,Mid,Intel,Budget,4,256,0,0,0,256,2.00,Medium,No,14,Excellent,No
DELL,Notebook,17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16GB,"256GB SSD +  2TB HDD","AMD Radeon 530",Windows,2.8kg,69210.72,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,AMD,Mid-Range,16,256,2048,0,0,2304,2.80,Heavy,No,14,Excellent,No
DELL,Ultrabook,14,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"256GB SSD","Intel UHD Graphics 620",Windows,1.7kg,46833.119999999995,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,Intel,Mid-Range,8,256,0,0,0,256,1.70,Medium,No,14,Excellent,No
LENOVO,Notebook,14,"IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",8GB,"256GB SSD","Intel HD Graphics 620","Not Specified",1.7kg,31914.719999999998,1920,1080,NULL,No,"Full HD",Intel,i3,7130U,7,2.00,Mid,Intel,Budget,8,256,0,0,0,256,1.70,Medium,No,14,Excellent,No
ASUS,Notebook,14,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"256GB SSD","Intel UHD Graphics 620",Windows,1.4kg,50136.479999999996,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,Intel,Mid-Range,8,256,0,0,0,256,1.40,Medium,No,14,Excellent,No
HP,Notebook,15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8GB,"256GB SSD","Intel HD Graphics 620",Windows,1.86kg,36763.2,1920,1080,NULL,No,"Full HD",Intel,i5,7200U,7,2.00,Upper-Mid,Intel,Budget,8,256,0,0,0,256,1.86,Medium,No,14,Excellent,No
ASUS,Ultrabook,15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16GB,"512GB SSD","Nvidia GeForce GTX 1050 Ti",Windows,1.8kg,105654.23999999999,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Premium,16,512,0,0,0,512,1.80,Medium,No,14,Excellent,No
HP,Notebook,15.6,1366x768,"Intel Core i3 6006U 2GHz",4GB,"500GB HDD","AMD Radeon 520",Windows,1.86kg,23373.4032,1366,768,NULL,No,HD,Intel,i3,6006U,6,2.00,Mid,AMD,Budget,4,0,500,0,0,500,1.86,Medium,No,14,Excellent,No
HP,Notebook,14,1366x768,"Intel Celeron Dual Core N3060 1.6GHz",4GB,"32GB SSD","Intel HD Graphics 400",Windows,1.44kg,12201.119999999999,1366,768,NULL,No,HD,Intel,Celeron,3060,NULL,1.00,Entry,Intel,Budget,4,32,0,0,0,32,1.44,Medium,No,14,Excellent,No
LENOVO,Notebook,15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4GB,"1TB HDD","Intel HD Graphics 620",Windows,1.9kg,29250.719999999998,1920,1080,NULL,No,"Full HD",Intel,i5,7200U,7,2.00,Upper-Mid,Intel,Budget,4,0,1024,0,0,1024,1.90,Medium,No,14,Excellent,No
ASUS,Gaming,17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12GB,"1TB HDD","Nvidia GeForce GTX 1050 Ti",Linux,3kg,50562.72,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Mid-Range,12,0,1024,0,0,1024,3.00,Heavy,No,14,Excellent,No
MICROSOFT,Ultrabook,13.5,"Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz",4GB,"128GB SSD","Intel HD Graphics 620",Windows,1.252kg,58021.92,2256,1504,NULL,Yes,"Quad HD",Intel,i5,7200U,7,2.00,Upper-Mid,Intel,Mid-Range,4,128,0,0,0,128,1.25,Light,No,14,Excellent,No
DELL,Ultrabook,13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"256GB SSD","AMD Radeon 530",Windows,1.4kg,50882.4,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,AMD,Mid-Range,8,256,0,0,0,256,1.40,Medium,No,14,Excellent,No
DELL,Notebook,15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"256GB SSD","AMD Radeon 530",Windows,2.2kg,46353.6,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,AMD,Mid-Range,8,256,0,0,0,256,2.20,Heavy,No,14,Excellent,No
MSI,Gaming,17.3,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8GB,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050",Windows,2.7kg,58341.6,1920,1080,NULL,No,"Full HD",Intel,i5,7300HQ,7,2.00,Upper-Mid,NVIDIA,Mid-Range,8,128,1024,0,0,1152,2.70,Heavy,No,14,Excellent,No
ACER,Notebook,14,1366x768,"Intel Core i3 6006U 2GHz",8GB,"1TB HDD","Intel HD Graphics 520",Windows,2.1kg,20725.92,1366,768,NULL,No,HD,Intel,i3,6006U,6,2.00,Mid,Intel,Budget,8,0,1024,0,0,1024,2.10,Medium,No,14,Excellent,No
ASUS,Gaming,15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8GB,"1TB HDD","Nvidia GeForce GTX 1050",Windows,2.2kg,50562.72,1920,1080,NULL,No,"Full HD",Intel,i7,7700HQ,7,2.00,High,NVIDIA,Mid-Range,8,0,1024,0,0,1024,2.20,Heavy,No,14,Excellent,No
LENOVO,Notebook,15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8GB,"2TB HDD","Intel HD Graphics 620","Not Specified",2.2kg,27652.32,1920,1080,NULL,No,"Full HD",Intel,i5,7200U,7,2.00,Upper-Mid,Intel,Budget,8,0,2048,0,0,2048,2.20,Heavy,No,14,Excellent,No
DELL,Notebook,15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8GB,"128GB SSD +  1TB HDD","Intel UHD Graphics 620",Windows,2.02kg,45554.4,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,Intel,Mid-Range,8,128,1024,0,0,1152,2.02,Medium,No,14,Excellent,No
ACER,Notebook,15.6,"Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",4GB,"1TB HDD","Nvidia GeForce MX130",Windows,2.2kg,28238.399999999998,1920,1080,NULL,No,"Full HD",Intel,i3,7130U,7,2.00,Mid,NVIDIA,Budget,4,0,1024,0,0,1024,2.20,Heavy,No,14,Excellent,No
